"codigo","actividad_economica","afecta_iva","categoria"
"11101","Cultivo de trigo",,
"11102","Cultivo de maíz",,
"11103","Cultivo de avena",,
"11200","Cultivo de arroz",,
"11104","Cultivo de cebada",,
"11105","Cultivo de otros cereales (excepto trigo, maíz, avena y cebada)",,
"11902","Cultivos forrajeros en praderas mejoradas o sembradas; cultivos suplementarios forrajeros",,
"11106","Cultivo de porotos",,
"11107","Cultivo de lupino",,
"11108","Cultivo de otras legumbres (excepto porotos y lupino)",,
"11301","Cultivo de papas",,
"11302","Cultivo de camotes",,
"11303","Cultivo de otros tubérculos (excepto papas y camotes)",,
"11109","Cultivo de semillas de raps",,
"11110","Cultivo de semillas de maravilla (girasol)",,
"11111","Cultivo de semillas de cereales, legumbres y oleaginosas (excepto semillas de raps y maravilla)",,
"11304","Cultivo de remolacha azucarera",,
"11500","Cultivo de tabaco",,
"11600","Cultivo de plantas de fibra",,
"11400","Cultivo de caña de azúcar",,
"12802","Cultivo de plantas aromáticas, medicinales y farmacéuticas",,
"11901","Cultivo de flores",,
"11305","Cultivo de semillas de hortalizas",,
"11903","Cultivos de semillas de flores; cultivo de semillas de plantas forrajeras",,
"12501","Cultivo de semillas de frutas",,
"13000","Cultivo de plantas vivas incluida la producción en viveros (excepto viveros forestales)",,
"11306","Cultivo de hortalizas y melones",,
"12111","Cultivo de uva destinada a la producción de pisco y aguardiente",,
"12112","Cultivo de uva destinada a la producción de vino",,
"12120","Cultivo de uva para mesa",,
"12200","Cultivo de frutas tropicales y subtropicales (incluye el cultivo de paltas)",,
"12300","Cultivo de cítricos",,
"12400","Cultivo de frutas de pepita y de hueso",,
"12600","Cultivo de frutos oleaginosos (incluye el cultivo de aceitunas)",,
"12502","Cultivo de otros frutos y nueces de árboles y arbustos",,
"12700","Cultivo de plantas con las que se preparan bebidas (incluye el cultivo de café, té y mate)",,
"12801","Cultivo de especias",,
"14101","Cría de ganado bovino para la producción lechera",,
"14102","Cría de ganado bovino para la producción de carne o como ganado reproductor",,
"14410","Cría de ovejas (ovinos)",,
"14200","Cría de caballos y otros equinos",,
"14500","Cría de cerdos",,
"14601","Cría de aves de corral para la producción de carne",,
"14602","Cría de aves de corral para la producción de huevos",,
"14901","Apicultura",,
"14300","Cría de llamas, alpacas, vicuñas, guanacos y otros camélidos",,
"14420","Cría de cabras (caprinos)",,
"14909","Cría de otros animales n.c.p.",,
"15000","Cultivo de productos agrícolas en combinación con la cría de animales (explotación mixta)",,
"16300","Actividades poscosecha",,
"16400","Tratamiento de semillas para propagación",,
"16100","Actividades de apoyo a la agricultura",,
